timestamp,latitude,longitude,height,azimuth,altitude
2007-05-06 11:59:33+00:00,54,137,0,318.8874313358552,-10.727251154244538
2007-11-08 02:28:02+00:00,36,179,0,222.98222580435433,25.331860722326997
2007-02-07 02:39:08+00:00,-84,162,0,341.21164647990486,21.11340353297227
2007-12-07 03:10:10+00:00,-72,118,0,14.963232477153095,40.0676958357235
2007-01-20 15:26:27+00:00,57,13,0,235.92216902433535,-2.6509453723740846
2007-12-08 14:50:00+00:00,-10,155,0,149.99054852917433,-52.13261361077773
2007-12-18 00:08:53+00:00,25,59,0,102.35825304763854,-33.89793572239216
2007-02-16 17:00:36+00:00,3,5,0,256.73114273493644,12.475941167637425
2007-06-01 23:15:50+00:00,1,92,0,67.52975126482133,-7.597459112922834
2007-06-24 11:58:01+00:00,-10,0,0,1.9882622551974998,56.56275311466447
2007-04-26 21:56:18+00:00,82,19,0,348.79372904502543,5.806375340764819
2007-12-08 07:02:59+00:00,10,134,0,240.7011365419143,21.31341276990966
2007-11-08 08:45:12+00:00,-7,133,0,253.77235116574613,3.6462486808388865
2007-10-22 13:39:59+00:00,-52,100,0,231.79496606590035,-13.114385152699521
2007-07-21 17:38:46+00:00,64,56,0,322.0293362684783,0.20571572007064903
2007-10-16 18:26:26+00:00,-5,149,0,101.41921218834888,-19.716548482395755
2007-04-20 14:13:16+00:00,71,176,0,28.955645458929663,-5.065948385698931
2007-12-09 00:19:49+00:00,-6,136,0,118.962793363644,50.46200855207852
2007-10-07 19:03:41+00:00,-73,128,0,123.3607099657195,-3.759465656706546
2007-02-17 08:24:33+00:00,-60,170,0,244.6047630876295,-0.3921618525247407
2007-10-18 12:05:41+00:00,5,116,0,261.76705428832196,-31.38499417288239
2007-10-06 11:54:08+00:00,-62,24,0,330.4425795078103,30.072736900369577
2007-08-01 00:30:54+00:00,-67,14,0,155.08375046168123,-39.45644768867333
2007-01-08 07:37:22+00:00,3,166,0,247.91454609738574,-9.112249804208028
2007-08-04 06:22:13+00:00,-64,103,0,343.7194677740857,7.644968719000945
2007-08-04 16:13:48+00:00,9,36,0,288.2573653748563,-4.712569689213597
2007-04-03 09:10:03+00:00,-28,157,0,263.3867045948785,-23.249563263791813
2007-11-22 13:11:51+00:00,49,122,0,301.4327211832084,-48.94006027312331
2007-06-12 18:43:19+00:00,-3,108,0,51.577510359265496,-55.630639682126926
2007-06-07 20:02:22+00:00,-76,78,0,158.5022073066428,-35.95138728423927
2007-08-21 22:28:01+00:00,53,115,0,83.60931656408886,10.197037198722942
2007-12-23 23:29:27+00:00,51,169,0,162.50252109316293,13.787891592515201
2007-11-20 14:38:37+00:00,45,66,0,268.693071498994,-27.196591298066412
2007-03-26 02:55:00+00:00,-56,104,0,38.12587700972901,25.760017711552834
2007-04-17 05:25:26+00:00,-40,164,0,294.2123686243806,11.451918992739538
2007-07-02 06:04:29+00:00,-27,137,0,313.2786235412451,22.401683761856958
2007-08-20 06:29:03+00:00,59,117,0,222.33918706243304,37.306921888698625
2007-12-23 13:44:29+00:00,-14,36,0,250.8133094883119,30.689077659899322
2007-06-25 02:07:04+00:00,-44,90,0,52.00823337297136,3.6914736623623794
2007-03-07 22:41:47+00:00,10,11,0,292.55670547655154,-77.69036288430291
2007-06-10 14:49:45+00:00,0,85,0,298.1747640621153,-34.060081334561865
2007-02-15 02:26:57+00:00,-56,26,0,122.80581247967204,-5.5165469498400554
2007-09-10 01:59:30+00:00,-64,111,0,40.015331383622645,15.173897058256019
2007-03-26 02:33:09+00:00,-49,42,0,97.2137117274812,-8.937913612142895
2007-12-19 06:54:10+00:00,1,112,0,232.90471538752408,47.16381152803388
2007-08-11 13:22:49+00:00,-62,25,0,317.4303939353314,5.276993981830877
2007-12-03 01:39:30+00:00,-39,109,0,78.44831134348372,49.249137692013576
2007-09-16 18:52:27+00:00,74,7,0,291.20438288299044,-3.3083217520630694
2007-01-26 05:03:05+00:00,35,173,0,240.4548898089878,7.815370968582863
2007-05-10 21:17:34+00:00,14,30,0,342.7348746523532,-56.82650633645465
2007-11-03 04:05:38+00:00,63,138,0,202.9466165142325,9.92197202077442
2007-03-01 23:04:54+00:00,-28,57,0,126.38850272377181,-37.56115087348018
2007-09-16 07:30:19+00:00,-8,55,0,46.824770300362296,74.47562563023298
2007-10-16 01:10:34+00:00,-71,9,0,149.97971104278685,-7.758522354115385
2007-12-14 08:47:23+00:00,2,175,0,242.64501768039102,-35.5109284377036
2007-11-18 15:35:26+00:00,-4,63,0,245.9872100072101,-27.03926024724787
2007-08-09 12:00:23+00:00,-37,129,0,259.9532582255707,-39.2809800638943
2007-05-21 17:17:15+00:00,-24,86,0,256.48955361578066,-76.55129674479541
2007-06-13 10:21:35+00:00,56,85,0,258.8556999485719,35.549746447618766
2007-03-05 02:46:18+00:00,21,9,0,79.22468531286889,-41.678870955585275
2007-11-09 02:46:27+00:00,77,109,0,155.61471919474104,-4.948975927681293
2007-02-07 16:22:44+00:00,63,4,0,242.019513372853,-3.2467881990472014
2007-06-10 02:39:53+00:00,-86,150,0,350.22124047540325,-19.05383333972501
2007-12-23 14:57:43+00:00,4,90,0,241.7128744945045,-42.063020893796384
2007-02-22 17:26:44+00:00,-34,0,0,268.0330668285559,15.36923463590229
2007-04-11 19:24:12+00:00,-68,146,0,99.21697937615949,-12.789207379397732
2007-05-23 06:19:27+00:00,-57,162,0,291.49186461036004,-10.631630065329759
2007-08-24 06:52:35+00:00,86,149,0,252.2181458891041,12.412414347873787
2007-05-06 04:11:40+00:00,41,163,0,252.63668766855275,43.03866706978903
