time,altitude,azimuth,sza,doy
2019-06-01 14:03:00+00:00,51.056741830287855,108.37507877996742,38.943258169712145,152
2019-06-01 14:04:00+00:00,51.23232471088505,108.61577869915405,38.76767528911495,152
2019-06-01 14:05:00+00:00,51.40765920994154,108.85786015436332,38.59234079005846,152
2019-06-01 14:06:00+00:00,51.582740750478,109.10134163787359,38.417259249522,152
2019-06-01 14:07:00+00:00,51.75756468623693,109.34624188004315,38.24243531376307,152
2019-06-01 14:08:00+00:00,51.93212630142011,109.59257985326524,38.06787369857989,152
2019-06-01 14:09:00+00:00,52.10642080733624,109.84037477166893,37.89357919266376,152
2019-06-01 14:10:00+00:00,52.28044334236788,110.08964609551451,37.71955665763212,152
2019-06-01 14:11:00+00:00,52.4541889702322,110.34041353317681,37.5458110297678,152
2019-06-01 14:12:00+00:00,52.62765279445385,110.59269721277676,37.37234720554615,152
2019-06-01 14:13:00+00:00,52.8008294931425,110.84651700878933,37.1991705068575,152
2019-06-01 14:14:00+00:00,52.97371401349993,111.10189355656988,37.02628598650007,152
2019-06-01 14:15:00+00:00,53.146301106132384,111.35884758083559,36.853698893867616,152
2019-06-01 14:16:00+00:00,53.31858543964595,111.6174000661407,36.68141456035405,152
2019-06-01 14:17:00+00:00,53.490561598777525,111.87757225855478,36.509438401222475,152
2019-06-01 14:18:00+00:00,53.66222408409726,112.13938566969433,36.33777591590274,152
2019-06-01 14:19:00+00:00,53.83356730849409,112.40286207584882,36.16643269150591,152
2019-06-01 14:20:00+00:00,54.004585711700024,112.66802370085448,35.995414288299976,152
2019-06-01 14:21:00+00:00,54.175273298681546,112.93489250275756,35.824726701318454,152
2019-06-01 14:22:00+00:00,54.34562432744687,113.20349124544043,35.65437567255313,152
2019-06-01 14:23:00+00:00,54.51563284853207,113.4738427898549,35.48436715146793,152
2019-06-01 14:24:00+00:00,54.68529281644367,113.74597027039249,35.31470718355633,152
2019-06-01 14:25:00+00:00,54.854598089208004,114.01989709838477,35.145401910791996,152
2019-06-01 14:26:00+00:00,55.02354242625672,114.29564696287136,34.97645757374328,152
2019-06-01 14:27:00+00:00,55.19211948604471,114.57324383066799,34.80788051395529,152
2019-06-01 14:28:00+00:00,55.36032282659827,114.85271195192998,34.63967717340173,152
2019-06-01 14:29:00+00:00,55.52814590011327,115.13407585427426,34.47185409988673,152
2019-06-01 14:30:00+00:00,55.695582053450885,115.41736034799749,34.304417946549115,152
2019-06-01 14:31:00+00:00,55.86262452564859,115.70259052550117,34.13737547435141,152
2019-06-01 14:32:00+00:00,56.02926644568769,115.98979176111165,33.97073355431231,152
2019-06-01 14:33:00+00:00,56.19550083180181,116.27898971341651,33.80449916819819,152
2019-06-01 14:34:00+00:00,56.36132069895323,116.5702105185681,33.63867930104677,152
2019-06-01 14:35:00+00:00,56.52671861223806,116.86348000649573,33.47328138776194,152
2019-06-01 14:36:00+00:00,56.69168735445111,117.15882487792598,33.30831264554889,152
2019-06-01 14:37:00+00:00,56.85621947597049,117.45627191692944,33.14378052402951,152
2019-06-01 14:38:00+00:00,57.02030740661188,117.75584818989745,32.97969259338812,152
2019-06-01 14:39:00+00:00,57.18394345145711,118.05758104030768,32.81605654854289,152
2019-06-01 14:40:00+00:00,57.34711978997195,118.36149808930548,32.65288021002805,152
2019-06-01 14:41:00+00:00,57.509828473594624,118.66762723325971,32.490171526405376,152
2019-06-01 14:42:00+00:00,57.672061423312876,118.97599664096788,32.327938576687124,152
2019-06-01 14:43:00+00:00,57.833810537267325,119.2866349630668,32.166189462732675,152
2019-06-01 14:44:00+00:00,57.99506725220954,119.59957048823573,32.00493274779046,152
2019-06-01 14:45:00+00:00,58.15582319491939,119.91483239602172,31.844176805080608,152
2019-06-01 14:46:00+00:00,58.31606974445324,120.2324499181029,31.683930255546763,152
2019-06-01 14:47:00+00:00,58.47579813856377,120.55245254179401,31.524201861436232,152
2019-06-01 14:48:00+00:00,58.63499947266313,120.87487000776952,31.365000527336868,152
2019-06-01 14:49:00+00:00,58.79366469559229,121.1997323007576,31.20633530440771,152
2019-06-01 14:50:00+00:00,58.95178460961393,121.52706964914883,31.04821539038607,152
2019-06-01 14:51:00+00:00,59.10934986635376,121.8569125140971,30.89065013364624,152
2019-06-01 14:52:00+00:00,59.26635096531993,122.18929158508763,30.73364903468007,152
2019-06-01 14:53:00+00:00,59.42277825260208,122.52423777454895,30.57722174739792,152
2019-06-01 14:54:00+00:00,59.57862191689898,122.86178220634585,30.42137808310102,152
2019-06-01 14:55:00+00:00,59.73387198848627,123.20195620986883,30.26612801151373,152
2019-06-01 14:56:00+00:00,59.88851833673871,123.54479131041349,30.111481663261287,152
2019-06-01 14:57:00+00:00,60.0425507707377,123.89031945142341,29.957449229262302,152
2019-06-01 14:58:00+00:00,60.19595862550173,124.23857205805535,29.80404137449827,152
2019-06-01 14:59:00+00:00,60.348731377886836,124.58958141240589,29.651268622113164,152
2019-06-01 15:00:00+00:00,60.50085823202332,124.94337971918253,29.49914176797668,152
2019-06-01 15:01:00+00:00,60.65232822044061,125.29999932319974,29.34767177955939,152
2019-06-01 15:02:00+00:00,60.80313020202076,125.65947269592269,29.19686979797924,152
2019-06-01 15:03:00+00:00,60.95325285995519,126.02183242105082,29.046747140044808,152
2019-06-01 15:04:00+00:00,61.10268469978566,126.38711117935411,28.897315300214338,152
2019-06-01 15:05:00+00:00,61.25141414718902,126.755341981197,28.748585852810983,152
2019-06-01 15:06:00+00:00,61.39942914670495,127.12655715666654,28.600570853295046,152
2019-06-01 15:07:00+00:00,61.54671775945304,127.50078982298356,28.45328224054696,152
2019-06-01 15:08:00+00:00,61.693267762107425,127.87807287936249,28.306732237892575,152
2019-06-01 15:09:00+00:00,61.83906674378569,128.2584392294624,28.160933256214307,152
2019-06-01 15:10:00+00:00,61.98410210549764,128.64192176282242,28.01589789450236,152
2019-06-01 15:11:00+00:00,62.12836105837925,129.02855333196877,27.871638941620752,152
2019-06-01 15:12:00+00:00,62.271830621710635,129.41836672718205,27.728169378289365,152
2019-06-01 15:13:00+00:00,62.41449762355837,129.81139465813646,27.58550237644163,152
2019-06-01 15:14:00+00:00,62.556348696565315,130.20766971860326,27.443651303434685,152
2019-06-01 15:15:00+00:00,62.69737027880361,130.60722436555625,27.30262972119639,152
2019-06-01 15:16:00+00:00,62.83754861223797,131.0100908890558,27.162451387762033,152
2019-06-01 15:17:00+00:00,62.97686974184267,131.41630138248593,27.02313025815733,152
2019-06-01 15:18:00+00:00,63.11531951462483,131.8258877107803,26.88468048537517,152
2019-06-01 15:19:00+00:00,63.2528836721575,132.2388817597443,26.747116327842498,152
2019-06-01 15:20:00+00:00,63.389547479165444,132.65531428325977,26.610452520834556,152
2019-06-01 15:21:00+00:00,63.525296279859724,133.07521654126725,26.474703720140276,152
2019-06-01 15:22:00+00:00,63.66011512587966,133.49861914803503,26.339884874120337,152
2019-06-01 15:23:00+00:00,63.79398886970212,133.92555231314907,26.20601113029788,152
2019-06-01 15:24:00+00:00,63.92690216571989,134.35604580411706,26.073097834280112,152
2019-06-01 15:25:00+00:00,64.05883946918941,134.79012890010335,25.941160530810592,152
2019-06-01 15:26:00+00:00,64.18978503796475,135.22783035240272,25.810214962035246,152
2019-06-01 15:27:00+00:00,64.31972293313963,135.66917833906405,25.68027706686037,152
2019-06-01 15:28:00+00:00,64.44863710628815,136.1142007187479,25.551362893711854,152
2019-06-01 15:29:00+00:00,64.57651105596074,136.56292378657776,25.423488944039264,152
2019-06-01 15:30:00+00:00,64.70332834779597,137.01537401614405,25.296671652204026,152
2019-06-01 15:31:00+00:00,64.8290722701791,137.4715768171772,25.170927729820903,152
